epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1777.03,1.10809,0.75956,0.84789,0.93767,0.93056,0.96185,0.66154,0.99882,0.80271,0.9646,0.0011882,0.0011882,0.0011882
43,1811.13,0.96987,0.6963,0.85805,0.93944,0.93981,0.96159,0.67529,0.96437,0.78102,0.96041,0.0011684,0.0011684,0.0011684
44,1863.56,0.91162,0.71474,0.86454,0.94827,0.94907,0.95977,0.69566,0.97701,0.76544,0.96348,0.0011486,0.0011486,0.0011486
45,1897.17,1.10483,0.70879,0.84131,0.94827,0.94907,0.95977,0.69566,0.97701,0.76544,0.96348,0.0011288,0.0011288,0.0011288
46,1932.52,0.99863,0.7671,0.86505,0.94384,0.94444,0.94565,0.65355,1.03871,0.76314,0.97405,0.001109,0.001109,0.001109
47,1959.45,0.99637,0.75331,0.8811,0.93922,0.93981,0.94508,0.65802,0.97298,0.70272,0.96656,0.0010892,0.0010892,0.0010892
48,1992.05,1.01482,0.76299,0.85817,0.93467,0.93519,0.94921,0.6744,1.04371,0.68385,0.97178,0.0010694,0.0010694,0.0010694
49,2044.31,1.00017,0.78745,0.84973,0.93467,0.93519,0.94921,0.6744,1.04371,0.68385,0.97178,0.0010496,0.0010496,0.0010496
50,2069.14,0.97522,0.66546,0.82922,0.94386,0.94444,0.95621,0.69236,1.10501,0.69897,0.9787,0.0010298,0.0010298,0.0010298
51,2094.28,0.90875,0.68082,0.85309,0.93937,0.93981,0.94457,0.69607,1.04199,0.72542,0.96878,0.00101,0.00101,0.00101
52,2119.33,0.89953,0.64122,0.83977,0.93408,0.93519,0.93745,0.70101,0.9645,0.73277,0.95516,0.0009902,0.0009902,0.0009902
53,2147.41,0.99647,0.66155,0.84459,0.93408,0.93519,0.93745,0.70101,0.9645,0.73277,0.95516,0.0009704,0.0009704,0.0009704
54,2187.65,1.02033,0.71173,0.86401,0.93946,0.93981,0.94798,0.69042,0.96421,0.74636,0.95729,0.0009506,0.0009506,0.0009506
55,2215.82,1.01362,0.69609,0.85988,0.92903,0.93056,0.94419,0.68409,1.03698,0.74923,0.96561,0.0009308,0.0009308,0.0009308
56,2240.83,1.00734,0.68096,0.83903,0.93053,0.93015,0.94499,0.68039,1.02272,0.75897,0.97454,0.000911,0.000911,0.000911
57,2271.45,0.88625,0.71279,0.83053,0.93053,0.93015,0.94499,0.68039,1.02272,0.75897,0.97454,0.0008912,0.0008912,0.0008912
58,2305.75,0.8368,0.64951,0.82309,0.94847,0.94907,0.95703,0.72089,0.94987,0.75844,0.9647,0.0008714,0.0008714,0.0008714
59,2354.51,0.84365,0.61759,0.83404,0.94833,0.94907,0.96046,0.70178,0.94668,0.73359,0.95971,0.0008516,0.0008516,0.0008516
60,2412.45,0.8516,0.623,0.81773,0.95731,0.95833,0.96969,0.65321,1.03007,0.73398,0.96931,0.0008318,0.0008318,0.0008318
61,2443.07,0.89612,0.66208,0.86253,0.95731,0.95833,0.96969,0.65321,1.03007,0.73398,0.96931,0.000812,0.000812,0.000812
62,2491.39,0.96067,0.6488,0.88649,0.95241,0.9537,0.96573,0.63162,1.12222,0.72606,0.97964,0.0007922,0.0007922,0.0007922
63,2536.79,0.93307,0.65162,0.83472,0.9442,0.94005,0.96539,0.69077,1.00421,0.72447,0.96598,0.0007724,0.0007724,0.0007724
64,2599.44,0.85113,0.61181,0.83439,0.96268,0.95544,0.96684,0.73953,0.88687,0.72089,0.94832,0.0007526,0.0007526,0.0007526
65,2633.18,0.83119,0.6155,0.85051,0.96268,0.95544,0.96684,0.73953,0.88687,0.72089,0.94832,0.0007328,0.0007328,0.0007328
66,2670.3,0.87558,0.6141,0.79809,0.95324,0.94373,0.95474,0.72548,0.87135,0.73623,0.94611,0.000713,0.000713,0.000713
67,2700.66,0.82807,0.62987,0.84341,0.93981,0.93974,0.95152,0.69227,0.94959,0.74248,0.94793,0.0006932,0.0006932,0.0006932
68,2739.49,0.90083,0.67439,0.8538,0.93471,0.93981,0.94427,0.68385,0.98308,0.73607,0.95249,0.0006734,0.0006734,0.0006734
69,2788.82,0.84035,0.6206,0.84101,0.93471,0.93981,0.94427,0.68385,0.98308,0.73607,0.95249,0.0006536,0.0006536,0.0006536
70,2815.05,0.86612,0.72241,0.85163,0.94759,0.94907,0.95169,0.7145,0.91609,0.72316,0.95401,0.0006338,0.0006338,0.0006338
71,2839.84,0.85176,0.61481,0.82679,0.94904,0.94842,0.95423,0.72764,0.90701,0.72251,0.95406,0.000614,0.000614,0.000614
72,2863.7,0.94992,0.62511,0.82904,0.94666,0.94907,0.95802,0.71814,0.93181,0.71767,0.95782,0.0005942,0.0005942,0.0005942
73,2907.16,0.98424,0.64616,0.85386,0.94666,0.94907,0.95802,0.71814,0.93181,0.71767,0.95782,0.0005744,0.0005744,0.0005744
74,2968.05,0.89948,0.68482,0.8331,0.93672,0.93981,0.95432,0.70391,0.99042,0.71875,0.96221,0.0005546,0.0005546,0.0005546
75,2992.74,0.88489,0.62478,0.83041,0.93608,0.94921,0.95895,0.6409,1.15025,0.74261,0.97365,0.0005348,0.0005348,0.0005348
76,3015.58,0.95667,0.62669,0.83606,0.93657,0.95699,0.96453,0.64968,1.14073,0.7271,0.97213,0.000515,0.000515,0.000515
77,3037.17,0.82062,0.57948,0.83077,0.93657,0.95699,0.96453,0.64968,1.14073,0.7271,0.97213,0.0004952,0.0004952,0.0004952
78,3061.66,0.84372,0.61403,0.82792,0.9273,0.94486,0.96046,0.70416,1.01646,0.69218,0.96058,0.0004754,0.0004754,0.0004754
79,3085.22,0.83849,0.61504,0.82646,0.93921,0.94444,0.9619,0.74501,0.90837,0.66751,0.95151,0.0004556,0.0004556,0.0004556
80,3109.62,0.86262,0.63168,0.85049,0.94446,0.94907,0.96678,0.74275,0.88644,0.65824,0.95116,0.0004358,0.0004358,0.0004358
81,3133.37,0.82761,0.60916,0.83314,0.94446,0.94907,0.96678,0.74275,0.88644,0.65824,0.95116,0.000416,0.000416,0.000416
82,3158.55,0.85775,0.62362,0.79211,0.94401,0.94907,0.96552,0.74463,0.90774,0.65322,0.95346,0.0003962,0.0003962,0.0003962
83,3183.99,0.90764,0.69392,0.80919,0.94717,0.93981,0.96587,0.71966,0.96551,0.66058,0.95754,0.0003764,0.0003764,0.0003764
84,3207.88,0.78068,0.59933,0.83771,0.95347,0.94873,0.96971,0.71141,0.96648,0.67346,0.95501,0.0003566,0.0003566,0.0003566
85,3232.04,0.89904,0.63051,0.84289,0.95347,0.94873,0.96971,0.71141,0.96648,0.67346,0.95501,0.0003368,0.0003368,0.0003368
86,3257.87,0.75331,0.57381,0.83405,0.94008,0.93519,0.95902,0.72042,0.90864,0.67746,0.94803,0.000317,0.000317,0.000317
87,3297.59,0.86466,0.61005,0.85415,0.95344,0.94801,0.97234,0.7395,0.83863,0.67026,0.94299,0.0002972,0.0002972,0.0002972
88,3341.58,0.86083,0.63658,0.82406,0.94424,0.94074,0.96955,0.75096,0.83043,0.6793,0.94214,0.0002774,0.0002774,0.0002774
89,3369.75,0.8498,0.60268,0.81924,0.94424,0.94074,0.96955,0.75096,0.83043,0.6793,0.94214,0.0002576,0.0002576,0.0002576
90,3395.45,0.82181,0.61299,0.81876,0.93564,0.94222,0.96924,0.75042,0.83493,0.68031,0.94221,0.0002378,0.0002378,0.0002378
91,3417.67,0.79419,0.86279,0.79788,0.93883,0.93981,0.97024,0.74685,0.84256,0.67218,0.94235,0.000218,0.000218,0.000218
92,3446.37,0.84463,0.94187,0.82192,0.94779,0.93981,0.96912,0.74157,0.85722,0.66697,0.94369,0.0001982,0.0001982,0.0001982
93,3484.29,0.82861,0.84341,0.84239,0.94779,0.93981,0.96912,0.74157,0.85722,0.66697,0.94369,0.0001784,0.0001784,0.0001784
94,3522.65,0.84329,0.84034,0.785,0.94856,0.93914,0.96503,0.72827,0.88205,0.6715,0.94613,0.0001586,0.0001586,0.0001586
95,3554.37,0.80415,0.78017,0.82235,0.94353,0.93519,0.95579,0.71687,0.90863,0.67966,0.9487,0.0001388,0.0001388,0.0001388
96,3580.01,0.7536,0.71373,0.79295,0.94388,0.93437,0.95357,0.71214,0.9177,0.68673,0.9501,0.000119,0.000119,0.000119
97,3603.62,0.78817,0.71555,0.78563,0.94388,0.93437,0.95357,0.71214,0.9177,0.68673,0.9501,9.92e-05,9.92e-05,9.92e-05
98,3629.53,0.85835,0.81424,0.83869,0.94865,0.94078,0.95362,0.71425,0.91146,0.68449,0.94965,7.94e-05,7.94e-05,7.94e-05
99,3656.82,0.83271,0.69259,0.8279,0.94866,0.9411,0.9532,0.71693,0.8979,0.68472,0.94851,5.96e-05,5.96e-05,5.96e-05
100,3681.98,0.72509,0.66449,0.82866,0.95333,0.94578,0.95982,0.72272,0.88351,0.68249,0.947,3.98e-05,3.98e-05,3.98e-05
